ID,Nombre,FechaCreacion,ID_Creador,Descripcion
1,Chat privado maestreeli - ecabo,2024-08-13,45,Conversación privada
2,Chat privado pmatas - carlitosoria,2024-03-31,40,Conversación privada
3,Chat privado ciriaco86 - carlitosoria,2024-11-02,52,Conversación privada
4,Chat privado vochoa - gmanzanares,2024-12-07,34,Conversación privada
5,Chat privado arsenio60 - expositoaura,2025-01-26,17,Conversación privada
6,Chat privado pcamacho - carmengol,2024-10-22,49,Conversación privada
7,Chat privado leopoldo23 - pintoleopoldo,2024-04-22,4,Conversación privada
8,Chat privado ecabo - agracia,2024-06-19,13,Conversación privada
9,Chat privado venceslas67 - crespiabilio,2024-09-24,47,Conversación privada
10,Chat privado vochoa - modestaacedo,2025-03-09,34,Conversación privada
11,Chat privado arsenio60 - agracia,2024-05-22,17,Conversación privada
12,Chat privado manugordillo - modestaacedo,2024-10-24,27,Conversación privada
13,Chat privado whervas - ecabo,2025-03-21,25,Conversación privada
14,Chat privado nilda17 - alvaro00,2025-01-10,39,Conversación privada
15,Chat privado ciriaco86 - nilda17,2024-11-22,52,Conversación privada
16,Chat privado marcosplinio - gmanzanares,2024-08-04,36,Conversación privada
17,Chat privado iban76 - eustaquiomateu,2024-12-13,6,Conversación privada
18,Chat privado estevezbruno - amayamanuela,2024-12-28,12,Conversación privada
19,Chat privado psales - marcosplinio,2025-01-02,41,Conversación privada
20,Chat privado solisjennifer - arsenio60,2024-07-04,30,Conversación privada
21,Chat privado manugordillo - wjove,2024-09-01,27,Conversación privada
22,Chat privado manugordillo - llobo,2024-09-03,27,Conversación privada
23,Chat privado trini05 - carlitosoria,2025-03-06,15,Conversación privada
24,Chat privado pmatas - lojeda,2024-06-20,40,Conversación privada
25,Chat privado marcos33 - herminio48,2024-04-24,16,Conversación privada
26,Grupo de efrainpinto,2024-05-01,48,Grupo de conversación
27,Grupo de whervas,2025-01-15,25,Grupo de conversación
28,Grupo de trini05,2025-02-23,15,Grupo de conversación
29,Grupo de llobo,2024-08-07,31,Grupo de conversación
30,Grupo de trini05,2024-11-21,15,Grupo de conversación
31,Grupo de maria-teresauribe,2024-05-24,50,Grupo de conversación
32,Grupo de amayamanuela,2024-07-03,3,Grupo de conversación
33,Grupo de ciriaco86,2024-07-28,52,Grupo de conversación
34,Grupo de pintoleopoldo,2024-11-03,5,Grupo de conversación
35,Grupo de solisjennifer,2025-01-18,30,Grupo de conversación
36,Grupo de nilda17,2024-10-12,39,Grupo de conversación
37,Grupo de estevezbruno,2024-08-28,12,Grupo de conversación
38,Grupo de expositoaura,2024-11-21,32,Grupo de conversación
39,Grupo de carboisabel,2024-09-25,7,Grupo de conversación
40,Grupo de dreig,2024-12-07,10,Grupo de conversación
41,Grupo de arsenio60,2024-11-25,17,Grupo de conversación
42,Grupo extra de leopoldo23,2024-05-01,4,Grupo adicional
43,Grupo extra de llobo,2025-01-26,31,Grupo adicional
44,Grupo extra de bautistahernando,2024-07-01,8,Grupo adicional
45,Grupo extra de atapia,2024-04-24,21,Grupo adicional
46,Grupo extra de maestreeli,2024-11-04,45,Grupo adicional
47,Grupo extra de alfonso98,2025-02-10,9,Grupo adicional
48,Grupo extra de oliveraberta,2024-06-03,24,Grupo adicional
49,Grupo extra de santostorralba,2024-03-28,11,Grupo adicional
50,Grupo extra de ciriaco86,2025-03-16,52,Grupo adicional
51,Grupo extra de nilda17,2024-04-13,39,Grupo adicional
52,Grupo extra de whervas,2024-10-09,25,Grupo adicional
53,Grupo extra de herminio48,2024-07-04,14,Grupo adicional
54,Grupo extra de jhervas,2024-09-08,19,Grupo adicional
55,Grupo extra de ciriaco86,2024-12-25,52,Grupo adicional
56,Grupo extra de dcerda,2024-11-19,22,Grupo adicional
57,Grupo extra de jorgecases,2024-08-27,23,Grupo adicional
58,Grupo extra de leopoldo23,2024-07-06,4,Grupo adicional
59,Grupo extra de carmengol,2024-07-15,51,Grupo adicional
60,Grupo extra de arsenio60,2024-11-11,17,Grupo adicional
61,Grupo extra de ciriaco86,2024-08-02,52,Grupo adicional
62,Grupo extra de arsenio60,2024-04-03,17,Grupo adicional
63,Grupo extra de dcerda,2024-10-20,22,Grupo adicional
64,Grupo extra de dreig,2024-10-01,10,Grupo adicional
65,Grupo extra de leandromendizabal,2024-08-03,46,Grupo adicional
66,Grupo extra de leandromendizabal,2024-12-20,46,Grupo adicional
67,Grupo extra de pintoleopoldo,2025-01-12,5,Grupo adicional
68,Chat privado maestreeli - ecabo,2024-08-13,45,Conversación privada
69,Chat privado pmatas - carlitosoria,2024-03-31,40,Conversación privada
70,Chat privado ciriaco86 - carlitosoria,2024-11-02,52,Conversación privada
71,Chat privado vochoa - gmanzanares,2024-12-07,34,Conversación privada
72,Chat privado arsenio60 - expositoaura,2025-01-26,17,Conversación privada
73,Chat privado pcamacho - carmengol,2024-10-22,49,Conversación privada
74,Chat privado leopoldo23 - pintoleopoldo,2024-04-22,4,Conversación privada
75,Chat privado ecabo - agracia,2024-06-19,13,Conversación privada
76,Chat privado venceslas67 - crespiabilio,2024-09-24,47,Conversación privada
77,Chat privado vochoa - modestaacedo,2025-03-09,34,Conversación privada
78,Chat privado arsenio60 - agracia,2024-05-22,17,Conversación privada
79,Chat privado manugordillo - modestaacedo,2024-10-24,27,Conversación privada
80,Chat privado whervas - ecabo,2025-03-21,25,Conversación privada
81,Chat privado nilda17 - alvaro00,2025-01-10,39,Conversación privada
82,Chat privado ciriaco86 - nilda17,2024-11-22,52,Conversación privada
83,Chat privado marcosplinio - gmanzanares,2024-08-04,36,Conversación privada
